2026-02-17 21:14:44 | INFO     | recalculate | Logging to: /Users/kyle/share/devel/chip/estimates/output/logs/recalculate_20260217_211444.log
2026-02-17 21:14:44 | INFO     | recalculate | CHIP Recalculation Pipeline
2026-02-17 21:14:44 | INFO     | recalculate | Date: 2026-02-17
2026-02-17 21:14:44 | INFO     | recalculate | Target year override: 2018
2026-02-17 21:14:44 | INFO     | recalculate | Effective date override: 2019-01-01
2026-02-17 21:14:44 | INFO     | recalculate | ============================================================
2026-02-17 21:14:44 | INFO     | recalculate | Step 1: Fetching data
2026-02-17 21:14:44 | INFO     | recalculate | ============================================================
2026-02-17 21:14:44 | INFO     | recalculate |   employment: 165,262 rows
2026-02-17 21:14:44 | INFO     | recalculate |   wages: 126,987 rows
2026-02-17 21:14:44 | INFO     | recalculate |   hours: 98,814 rows
2026-02-17 21:14:44 | INFO     | recalculate |   pwt: 13,690 rows
2026-02-17 21:14:44 | INFO     | recalculate |   deflator: 63 rows
2026-02-17 21:14:44 | INFO     | recalculate | ============================================================
2026-02-17 21:14:44 | INFO     | recalculate | Step 2: Running CHIP estimation pipeline
2026-02-17 21:14:44 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Pipeline: 758 obs, 102 countries
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Step 3: Aggregating to annual series
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Series: 23 years (2000–2022)
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Step 4: Computing 5-year trailing-window CHIP
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Using explicit target year: 2018
2026-02-17 21:14:45 | INFO     | recalculate | Target year: 2018
2026-02-17 21:14:45 | INFO     | recalculate | Constant CHIP (2017$): $2.81
2026-02-17 21:14:45 | INFO     | recalculate | Nominal CHIP (2018$): $2.88
2026-02-17 21:14:45 | INFO     | recalculate | Countries: 64
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Step 5: Computing country multipliers
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Multipliers for 64 countries
2026-02-17 21:14:45 | INFO     | recalculate |   Range: 0.04x to 2.14x
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Step 6: Fetching CPI reference for extrapolator
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | CPI reference: 326.588 as of 2026-01-01
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Step 7: Writing outputs
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Added entry in /Users/kyle/share/devel/chip/estimates/output/chip_history.json (now 20 entries)
2026-02-17 21:14:45 | INFO     | recalculate | Wrote /Users/kyle/share/devel/chip/estimates/output/base_params.json
2026-02-17 21:14:45 | INFO     | recalculate | Wrote /Users/kyle/share/devel/chip/estimates/output/latest.json
2026-02-17 21:14:45 | INFO     | recalculate | Wrote /Users/kyle/share/devel/chip/estimates/output/multipliers.csv
2026-02-17 21:14:45 | INFO     | recalculate | Wrote /Users/kyle/share/devel/chip/estimates/output/latest_recalculation.md
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | RECALCULATION COMPLETE
2026-02-17 21:14:45 | INFO     | recalculate |   Global CHIP: $2.88/hr (2018 nominal)
2026-02-17 21:14:45 | INFO     | recalculate |   Countries: 64
2026-02-17 21:14:45 | INFO     | recalculate |   Base params written for extrapolator
2026-02-17 21:14:45 | INFO     | recalculate | ============================================================
2026-02-17 21:14:45 | INFO     | recalculate | Success
