LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1971,2.344740177,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1972,2.342158859,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1973,2.228047182,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1974,2.6297086,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1975,2.733352719,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1976,3.194037796,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1977,4.008383547,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1978,4.309312904,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1979,5.015815635,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1980,5.423533921,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1981,6.169772257,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1982,7.70762563,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1983,10.01360259,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1984,11.29471582,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1985,10.39709003,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1986,11.63790016,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1987,11.03130148,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1988,11.8811217,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1989,13.44752414,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1990,14.49358241,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1991,15.62313655,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1992,15.28075439,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1993,13.60857195,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1994,13.67335303,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1995,13.24776424,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1996,12.96976672,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1997,13.48208132,
NZL,GFCFASSET,OTHMACHINEQT,PC_GFCF,A,1998,16.82906839,
