"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",8.65631944565959,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",8.24553126801908,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",8.36880870329076,
"FIN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2022",6.97885428681276,
"GBR","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",13.9883815630513,
"DNK","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",14.7361820653247,
"LUX","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",7.11454673912899,
"LUX","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",7.8237140654482,
"BEL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",12.0062010115357,
"BEL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",12.4546502582851,
"BEL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",12.2295165884422,
"BEL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2022",11.9941306009262,"E"
"ESP","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",11.8808666864394,"E"
"NOR","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",9.21576611850692,
"SVN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",10.9417301074098,
"SVN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",10.5415822336466,
"SVN","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",11.0078077841981,
"ISL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",7.49157858563464,
"ISL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",7.57226245835846,
"ISL","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",8.42179834505632,
"SVK","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",6.93787651094092,
"SVK","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",8.59582365447723,
"SVK","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",7.26621144137606,
"DEU","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",6.93651297355326,"E"
"DEU","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",7.00652492948603,"E"
"DEU","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",6.95979348394608,"E"
