country,isocode,adjusted_wage,elementary_wage,distortion_factor,weight_gdp,contribution_gdp,n_years,year_min,year_max
Italy,ITA,6.74962035898784,12.473450293624524,0.5481684754182008,0.03262419291248664,0.22020091667766659,4,2002,2018
Norway,NOR,5.802552825001612,27.81505893299053,0.2115941310933497,0.004873260916052469,0.0282773538954102,2,2014,2018
Denmark,DNK,5.791357000743496,28.427105386406414,0.20442068146534034,0.003877543201011242,0.0224562369628618,2,2014,2018
Luxembourg,LUX,5.68500282677514,16.736420878626934,0.34742095064156653,0.0006166443279970585,0.0035056247477781343,4,2002,2018
Belgium,BEL,5.474549382690022,17.011393047521725,0.3260467978256983,0.006658664139397324,0.036453185653877805,7,2006,2018
France,FRA,5.251889649486801,14.609162821520139,0.36181504070508014,0.035852011663907765,0.18829080897095724,5,2002,2018
Spain,ESP,4.793104851739454,11.676765204522509,0.4176491216928179,0.023126281917186055,0.11084669405995887,11,2002,2019
Finland,FIN,4.601099586909044,16.529302973786713,0.28261931229134,0.0030411474929460214,0.013992622473523413,7,2002,2017
Greece,GRC,4.564494857281423,8.397766855943315,0.5620677647155059,0.0042608905676022706,0.019448813083259485,5,2002,2018
Switzerland,CHE,4.505702154427564,32.600547258791295,0.13864730778961984,0.008304838991803594,0.037419130937543496,2,2014,2018
Germany,DEU,4.312059444177665,14.383439135648123,0.3009534446633652,0.05145048480361016,0.22185754890492662,5,2002,2018
Slovenia,SVN,4.163412775557469,6.485863810840845,0.6709532985027883,0.0007902568253033821,0.0032901653624395877,5,2002,2018
Cyprus,CYP,4.151063248646826,8.62897093758572,0.49994387348944913,0.00032707774485263796,0.001357720406108069,5,2002,2018
Sweden,SWE,4.0611398633249305,16.630762045244637,0.24669099802166913,0.006827518367543172,0.027727507010012732,6,2014,2019
United States,USA,4.031627222565243,17.273998239483788,0.23311927722228326,0.22724424942073268,0.9161641021360318,13,2003,2015
Czechia,CZE,3.999865837397972,4.53641375790021,0.8893515152970197,0.004827692576943203,0.019310122611974897,8,2012,2019
Portugal,PRT,3.6675649483342605,5.058800303767972,0.7447733554944569,0.004100017815047424,0.015037081626013951,13,2002,2018
Croatia,HRV,3.5218837598425976,4.6684696927372205,0.7543979058751572,0.001468537456536829,0.005172018218897612,1,2018,2018
Brunei Darussalam,BRN,3.4307049989000644,2.254424218441157,1.5312514274608926,0.0003713589329649905,0.0012740229477091868,2,2014,2017
Latvia,LVA,3.340952551746477,3.0683777615316474,1.2726952400197091,0.0006107768199443056,0.0020405763751405264,5,2002,2018
Netherlands,NLD,3.3031943443099627,13.906825789823085,0.23954428163026886,0.011394216320747249,0.037637310908536586,5,2002,2018
Ireland,IRL,3.0369495959844772,19.297128242964938,0.16006927547489955,0.004075052688510406,0.012375729615987135,5,2002,2018
Iceland,ISL,2.843947125231837,19.072637504099202,0.15141035281827406,0.0002084030673618661,0.0005926873043132759,4,2014,2017
Estonia,EST,2.5436799306564906,3.800169939072302,0.7685482074455352,0.00046563021637419495,0.0011844142364982788,5,2002,2018
Tajikistan,TJK,2.5162636780810614,0.35102734350658643,10.680555914520111,0.00023781611633276638,0.0005984080555904403,3,2003,2009
Serbia,SRB,2.4500527825416465,1.834635662337062,1.4955606316835068,0.0015203292569246967,0.003724886926307827,6,2014,2019
Malta,MLT,2.442636557319725,7.75165616997958,0.3212240649616328,0.00016149208038005413,0.0003944664592539357,4,2002,2018
Russian Federation,RUS,2.3954448377362025,1.6560175036875937,1.4658418581805073,0.05203701080408216,0.1246517889018616,2,2015,2017
Albania,ALB,2.28482241597171,1.7091677745376852,1.336804057512572,0.0004906902752125745,0.001121140140105018,1,2018,2018
Romania,ROU,2.246231341385033,2.1101610341649324,1.0644833759210934,0.005777201398734305,0.012976930847330446,1,2014,2014
Austria,AUT,2.240192610849811,13.571726256312662,0.16647444896591945,0.005641297084614546,0.012637592044562088,5,2002,2018
Argentina,ARG,2.2134342513487804,2.684676623203894,0.9239403094223951,0.012384914254751892,0.02741319341148559,13,2004,2019
Maldives,MDV,2.08711544216984,2.640937926610894,0.7958095908762256,0.0001346598939398145,0.00028105074408273973,2,2016,2019
Türkiye,TUR,2.0714354437119877,2.412433502744825,0.9208567803306963,0.02445218329918068,0.05065111916206519,11,2009,2019
Poland,POL,1.9179303002027612,4.241111832213264,0.4522234678263297,0.013186797626233012,0.025291358729994138,1,2014,2014
United Kingdom,GBR,1.8091803571441105,12.347897529099567,0.14679857182210415,0.0395611764569312,0.07157330335139196,5,2015,2019
Lithuania,LTU,1.7854067984249251,2.5561643339034257,0.7743044546688967,0.0009375991804318564,0.0016739959509406745,5,2002,2018
Malaysia,MYS,1.7708136904611398,1.8314439676617669,0.9661607169963651,0.009201533809892217,0.016294202043798188,9,2011,2019
Ecuador,ECU,1.7692187663140326,1.6520202599996014,1.084949531991081,0.0025780349015456735,0.004561107728027155,5,2014,2019
Yemen,YEM,1.7452059952307226,1.6216015829050714,1.076223662845849,0.0010029607583452512,0.0017503731284452843,1,2014,2014
Ukraine,UKR,1.7440498066142036,0.69290562251186,2.517009171165084,0.007076868267472232,0.01234241073331914,1,2016,2016
