year,chip_value,n_countries,pwt_version
2000,2.0218104655209204,5,10.0
2001,2.0121303922210654,7,10.0
2002,1.5966412384075008,11,10.0
2003,3.0269498612918215,11,10.0
2004,3.0378102164797327,9,10.0
2005,3.1079152542960697,13,10.0
2006,3.0582191411280935,15,10.0
2007,2.981605568250666,17,10.0
2008,2.917091029794808,19,10.0
2009,2.9452773183456213,22,10.0
2010,2.8563615812756558,50,10.0
2011,2.7828920837351037,29,10.0
2012,2.6327268127367627,36,10.0
2013,2.509713154761993,41,10.0
2014,2.7202387737652676,64,10.0
2015,2.5375034826805405,44,10.0
2016,2.7215035006525996,44,10.0
2017,2.648355263090841,51,10.0
2018,2.570191937102982,64,10.0
2019,2.301017026464818,54,10.0
