country,chip_value,elementary_wage,theta,alpha,mpl,gdp,employment,n_years,freedom_score,hdi
AGO,0.4568454158393397,0.434947315741253,1.1914759485642754,0.6177103722599503,1.240975793662701,220505.2421875,15.39351320266725,2,55.0,0.615
ALB,2.239527678248051,1.7108072601838389,1.309047331262434,0.6596777741513214,3.440767667190243,39340.6484375,1.12976121902466,1,66.6,0.806
ARG,3.6010172253575847,2.403392490512849,1.5150189864297847,0.6196211323986485,6.049820135271135,1173621.725,20.51968688964844,5,54.2,0.858
AUT,5.131517221108293,13.591307798823557,0.37759175693176766,0.6366504720252406,8.460449310476294,543927.1041666666,4.49085601170858,3,69.7,0.927
BEL,2.3933470062574966,16.209654389204704,0.14764947782300752,0.35505146334646426,3.497713325832679,620434.25,4.80409526824951,1,69.0,0.945
BGD,0.8377065432907301,0.47129433174287394,1.777459406721151,0.6319964404880596,1.385463499655092,1314714.875,72.8205413818359,1,54.7,0.68
BGR,1.266403569132973,2.3599364149050213,0.5366261400665496,0.356365225989838,2.1105560356792177,168740.578125,3.33594369888306,1,68.8,0.835
BLZ,0.6890945105711079,2.9185331437114046,0.23606027371485241,0.734953804859304,1.0397958558845648,4197.324951171875,0.16207922250032453,2,64.2,0.717
BOL,1.0775922894160321,1.673159292470694,0.6441281032242252,0.667298031877784,1.9476690851554435,112754.92578125,6.3221886157989555,2,,0.727
BRA,1.5655502025978725,1.598754842291475,1.005161748291136,0.6133983685420727,3.2223161735019885,3631846.1,92.45203552246093,5,55.1,0.78
BWA,0.7499586329286227,0.620338282321905,1.2115438642010636,0.5934552744420991,4.1464754322853015,40349.7734375,1.034273087978365,4,69.9,0.729
CHE,6.390244343132656,30.828692230428167,0.20938945911646029,0.7800485798688235,8.820068119605171,756013.2625,5.0566169738769515,5,83.7,0.966
CHL,1.1485401210764374,2.87692383781171,0.4128683472763265,0.3286430341782943,2.381179832837977,486984.25625,7.791982269287109,5,73.2,0.869
COL,1.1625671044603478,1.1951289992054865,0.9944810896533868,0.7792487200256157,1.7561059872775882,835377.5625,21.46564865112305,4,59.8,0.782
CRI,1.7651843077564813,3.2759154004298146,0.5528802293785038,0.5825786806766484,3.6290087636302117,117611.9984375,2.16346802711487,5,68.6,0.823
CYP,2.648333326871587,6.927302997521533,0.3823036653397598,0.5032474083794134,5.247498863436529,28388.111328125,0.362384855747223,1,73.2,0.908
CZE,3.3897621052467435,5.277552075450544,0.6433180315208523,0.544937071688518,5.894337347617755,465722.9453125,5.3438602685928345,4,72.9,0.911
DEU,4.993958032831176,14.55155905706811,0.3432350505715931,0.8170067811179434,8.140744814431121,5059503.0,45.435157775878935,3,71.6,0.955
DOM,2.614243590064946,1.2530584317388553,2.076224098325182,0.7952944885542996,5.111375531953909,235121.275,5.096512794494632,5,64.3,0.778
ECU,2.199017707184827,1.88388956511034,1.193689694634719,0.6178354019738331,3.765649142776528,239291.61875,8.103406620025636,5,55.8,0.773
EGY,0.10126301940511162,0.7504907054712125,0.13797363750460087,0.9868557279370649,0.1274225252300029,1740652.85,26.68280181884766,5,50.9,0.751
ESP,1.6096694061829053,12.066596023248335,0.13347989804025343,0.2564478243963769,2.4991988356440835,2016109.34375,19.91398763656615,4,66.3,0.911
EST,3.7028528262218257,5.7727524979346105,0.6414362693613906,0.697435367285815,5.348565193431526,51087.0078125,0.649465143680573,1,78.9,0.902
ETH,0.33856763637950676,0.2631271820733719,1.2867071874204872,0.6320217989865067,0.723185660082663,350425.375,53.2123832702637,1,48.1,0.494
FIN,2.5058604613947937,25.85980268619637,5.117158201471765,0.3630626733561966,3.780400085514009,290417.61875,2.65067844390869,5,77.0,0.946
FRA,4.138654897568113,11.341835297520499,0.36503521361198166,0.531862892721711,5.469955859250711,3356533.3333333335,28.7705078125,3,64.4,0.916
GBR,3.377768563306455,11.16224531273328,0.30493650478869416,0.5849294959609794,5.07543437063909,3332945.45,32.7370620727539,5,69.3,0.946
GHA,1.0588000191741727,1.2570674352062625,0.8422778202033706,0.7126880295125703,1.237686214067239,207234.046875,12.6487426757813,1,56.0,0.625
GMB,0.20816505197347868,0.3841984304298564,0.5418165080491749,0.7469811196427852,0.27231543553330106,6261.30908203125,0.719581484794617,1,,0.519
GRC,0.9637442625986795,4.7182875597289575,0.20431868922299334,0.07353407934470844,1.2953629098740247,311060.8125,4.707762241363523,3,60.6,0.897
HND,0.7958705781695297,1.3276461864623041,0.6152666677995289,0.642197712368504,1.4676401777490926,62066.52109375,3.753130817413332,5,59.6,0.643
HUN,3.5755450145171883,3.847493995874275,0.9325184100683119,0.7784940708226009,6.649881068574999,323668.30625,4.699557495117188,5,61.4,0.867
IDN,1.930291617455794,0.661415209086409,2.92471884936238,0.6989328922578093,3.6749798556986306,3436798.25,132.61237335205075,4,65.2,0.726
IND,0.8309636180841069,0.4645447065066176,1.793706074974904,0.6713341292176939,1.7187391743189446,11266865.0,553.4082717895508,4,53.0,0.676
IRL,5.375114106513696,16.162729390068236,0.33256227811477346,0.7952761843352232,7.934847068788206,524516.1875,2.25432968139648,1,83.1,0.947
IRQ,2.1377675677656987,1.2149217130905,1.7595928566686632,0.6011731752723454,3.9993336499276144,584104.0625,9.67389678955078,1,,0.695
