2026-02-16 21:57:22 | INFO     | weighting | Logging to: /Users/kyle/share/devel/chip/workbench/studies/weighting/output/logs/weighting_20260216_215722.log
2026-02-16 21:57:22 | INFO     | weighting | Aggregation Weighting Method Comparison
2026-02-16 21:57:22 | INFO     | weighting | PWT 11.0, 2000–2022
2026-02-16 21:57:22 | INFO     | weighting | Logging to: /Users/kyle/share/devel/chip/workbench/studies/weighting/output/logs/weighting_20260216_215722.log
2026-02-16 21:57:22 | INFO     | weighting | ============================================================
2026-02-16 21:57:22 | INFO     | weighting | Starting: weighting
2026-02-16 21:57:22 | INFO     | weighting | ============================================================
2026-02-16 21:57:22 | INFO     | weighting | PWT version: 11.0
2026-02-16 21:57:22 | INFO     | weighting | Year range: 2000–2022, focus: 2022
2026-02-16 21:57:22 | INFO     | weighting | ======================================================================
2026-02-16 21:57:22 | INFO     | weighting | Fetching data sources
2026-02-16 21:57:22 | INFO     | weighting | ======================================================================
2026-02-16 21:57:22 | INFO     | weighting | ======================================================================
2026-02-16 21:57:22 | INFO     | weighting | PHASE 1: Running CHIP pipeline
2026-02-16 21:57:22 | INFO     | weighting | ======================================================================
2026-02-16 21:57:23 | INFO     | weighting | Pipeline: 746 obs, 102 countries, years 2000-2022
2026-02-16 21:57:24 | INFO     | weighting | Aggregating over years 2018-2022: 258 obs, 85 countries
2026-02-16 21:57:24 | INFO     | weighting | Aggregated to 85 countries
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | INFO     | weighting | PHASE 2: Merging freedom and HDI scores
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | INFO     | weighting | Freedom scores: matched 0/85 countries (0%)
2026-02-16 21:57:24 | INFO     | weighting | HDI scores: matched 85/85 countries (100%)
2026-02-16 21:57:24 | INFO     | weighting | Final country data: 85 countries
2026-02-16 21:57:24 | INFO     | weighting |   gdp: 85/85 non-null
2026-02-16 21:57:24 | INFO     | weighting |   employment: 85/85 non-null
2026-02-16 21:57:24 | INFO     | weighting |   freedom_score: 0/85 non-null
2026-02-16 21:57:24 | INFO     | weighting |   hdi: 85/85 non-null
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | INFO     | weighting | PHASE 3: Weighting comparison
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | WARNING  | weighting | No freedom scores — skipping freedom-weighted
2026-02-16 21:57:24 | INFO     | weighting | 
Weighting comparison:
2026-02-16 21:57:24 | INFO     | weighting |   gdp_weighted        : $2.68/hr (85 countries)
2026-02-16 21:57:24 | INFO     | weighting |   hdi_weighted        : $2.20/hr (85 countries)
2026-02-16 21:57:24 | INFO     | weighting |   unweighted          : $2.00/hr (85 countries)
2026-02-16 21:57:24 | INFO     | weighting |   labor_weighted      : $1.67/hr (85 countries)
2026-02-16 21:57:24 | INFO     | weighting | 
  Spread: $1.00 (47.0%)
2026-02-16 21:57:24 | INFO     | weighting |   CV: 19.6%
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | INFO     | weighting | PHASE 4: Country multipliers
2026-02-16 21:57:24 | INFO     | weighting | ======================================================================
2026-02-16 21:57:24 | INFO     | weighting | GDP-weighted global CHIP: $2.68/hr
2026-02-16 21:57:24 | INFO     | weighting | Multiplier range: 0.04 – 2.39
2026-02-16 21:57:24 | INFO     | weighting | Median multiplier: 0.64
2026-02-16 21:57:24 | INFO     | weighting | 
